_ID	KIND	SPEAKER	MATCH	SPATIAL	CATEGORY	COUNT
94	NF	P	where	0	question	2
94	NF	P	who	0	question	2
94	NF	P	why	0	question	2
94	NF	P	wide	1	spatial dimension	2
94	NF	P	will	0	question	1
95	F	C	can	0	question	1
95	F	C	in	1	location and directions	1
95	F	P	above	1	location and directions	1
95	F	P	all	1	continuous amount	1
95	F	P	around	1	location and directions	1
95	F	P	away	1	location and directions	1
95	F	P	back	1	location and directions	1
95	F	P	bump	1	spatial features and properties	1
95	F	P	by	1	location and directions	2
95	F	P	can	0	question	1
95	F	P	could	0	question	1
95	F	P	did	0	question	1
95	F	P	dirt	0	nature	2
95	F	P	do	0	question	2
95	F	P	down	1	location and directions	3
95	F	P	front	1	location and directions	1
95	F	P	how	0	question	1
95	F	P	in	1	location and directions	3
95	F	P	past	1	location and directions	2
95	F	P	some	1	continuous amount	2
95	F	P	through	1	location and directions	1
95	F	P	tree	0	nature	1
95	F	P	under	1	location and directions	1
95	F	P	up	1	location and directions	4
95	F	P	what	0	question	6
95	F	P	where	0	question	1
95	F	P	will	0	question	1
95	F	P	with	1	location and directions	1
95	NF	C	animal	0	animal name	1
95	NF	C	around	1	location and directions	1
95	NF	C	can	0	question	2
95	NF	C	circle	1	shapes	1
95	NF	C	do	0	question	3
95	NF	C	how	0	question	1
95	NF	C	in	1	location and directions	3
95	NF	C	out	1	location and directions	1
95	NF	C	over	1	location and directions	1
95	NF	C	up	1	location and directions	2
95	NF	C	what	0	question	2
95	NF	C	why	0	question	4
95	NF	P	a little	1	continuous amount	1
95	NF	P	all	1	continuous amount	2
95	NF	P	animal	0	animal name	2
95	NF	P	around	1	location and directions	6
95	NF	P	away	1	location and directions	1
95	NF	P	axis	1	spatial features and properties	1
95	NF	P	back	1	location and directions	1
95	NF	P	big	1	spatial dimension	1
95	NF	P	bright	0	adjective	1
95	NF	P	can	0	question	3
95	NF	P	circle	1	shapes	1
95	NF	P	could	0	question	6
95	NF	P	do	0	question	5
95	NF	P	down	1	location and directions	1
95	NF	P	far	1	location and directions	2
95	NF	P	fat	1	spatial dimension	1
95	NF	P	flat	1	spatial features and properties	3
95	NF	P	full	1	spatial dimension	2
95	NF	P	half 	1	continuous amount	2
95	NF	P	high	1	location and directions	1
95	NF	P	how	0	question	1
95	NF	P	in	1	location and directions	6
95	NF	P	light	0	adjective	2
95	NF	P	maybe	0	question	1
95	NF	P	plants	0	nature	2
95	NF	P	right	1	location and directions	3
95	NF	P	shiny	0	adjective	1
95	NF	P	sky	0	nature	1
95	NF	P	some	1	continuous amount	1
95	NF	P	sun	0	nature	2
95	NF	P	surface	1	spatial features and properties	1
95	NF	P	tall	1	spatial dimension	2
95	NF	P	up	1	location and directions	6
95	NF	P	water	0	nature	2
95	NF	P	what	0	question	1
95	NF	P	when	0	question	6
95	NF	P	who	0	question	1
95	NF	P	why	0	question	1
95	NF	P	wide	1	spatial dimension	2
95	NF	P	will	0	question	2
96	F	C	bump	1	spatial features and properties	3
96	F	P	above	1	location and directions	1
96	F	P	around	1	location and directions	1
96	F	P	away	1	location and directions	1
96	F	P	back	1	location and directions	1
96	F	P	bump	1	spatial features and properties	1
96	F	P	by	1	location and directions	2
96	F	P	can	0	question	2
96	F	P	close	1	location and directions	1
96	F	P	did	0	question	2
96	F	P	dirt	0	nature	1
96	F	P	do	0	question	1
96	F	P	down	1	location and directions	3
96	F	P	front	1	location and directions	1
96	F	P	how	0	question	1
96	F	P	in	1	location and directions	2
96	F	P	is that	0	question	1
96	F	P	past	1	location and directions	3
96	F	P	right	1	location and directions	1
96	F	P	some	1	continuous amount	1
96	F	P	tree	0	nature	1
96	F	P	up	1	location and directions	3
96	F	P	what	0	question	9
96	F	P	where	0	question	1
96	F	P	will	0	question	1
96	F	P	with	1	location and directions	2
96	NF	C	can	0	question	3
96	NF	C	do	0	question	3
96	NF	C	half 	1	continuous amount	1
96	NF	C	maybe	0	question	1
96	NF	C	right	1	location and directions	1
96	NF	C	some	1	continuous amount	1
96	NF	C	tiny	1	spatial dimension	1
96	NF	C	turn	1	orientation and transformation	1
96	NF	C	when	0	question	1
96	NF	P	all	1	continuous amount	2
96	NF	P	animal	0	animal name	2
96	NF	P	around	1	location and directions	2
96	NF	P	away	1	location and directions	1
96	NF	P	big	1	spatial dimension	2
96	NF	P	bright	0	adjective	1
96	NF	P	can	0	question	1
96	NF	P	circle	1	shapes	1
96	NF	P	could	0	question	4
96	NF	P	did	0	question	1
96	NF	P	do	0	question	3
96	NF	P	down	1	location and directions	1
96	NF	P	far	1	location and directions	1
96	NF	P	flat	1	spatial features and properties	1
96	NF	P	full	1	spatial dimension	1
96	NF	P	half 	1	continuous amount	1
96	NF	P	high	1	location and directions	1
96	NF	P	in	1	location and directions	4
96	NF	P	light	0	adjective	1
96	NF	P	plants	0	nature	2
96	NF	P	right	1	location and directions	6
96	NF	P	shape	1	shapes	2
96	NF	P	shiny	0	adjective	1
96	NF	P	some	1	continuous amount	1
96	NF	P	sun	0	nature	1
96	NF	P	surface	1	spatial features and properties	1
96	NF	P	tall	1	spatial dimension	1
96	NF	P	turn	1	orientation and transformation	1
96	NF	P	up	1	location and directions	3
96	NF	P	water	0	nature	1
96	NF	P	what	0	question	1
96	NF	P	when	0	question	4
96	NF	P	where	0	question	1
96	NF	P	why	0	question	3
96	NF	P	wide	1	spatial dimension	1
97	F	C	some	1	continuous amount	1
97	F	P	above	1	location and directions	1
97	F	P	around	1	location and directions	1
97	F	P	away	1	location and directions	1
97	F	P	back	1	location and directions	1
97	F	P	bump	1	spatial features and properties	1
97	F	P	by	1	location and directions	2
97	F	P	can	0	question	1
97	F	P	could	0	question	3
97	F	P	did	0	question	1
97	F	P	dirt	0	nature	1
97	F	P	do	0	question	3
97	F	P	does	0	question	1
97	F	P	down	1	location and directions	3
97	F	P	front	1	location and directions	1
97	F	P	how	0	question	2
97	F	P	in	1	location and directions	5
97	F	P	maybe	0	question	1
97	F	P	past	1	location and directions	2
97	F	P	some	1	continuous amount	1
97	F	P	tree	0	nature	1
97	F	P	under	1	location and directions	1
97	F	P	up	1	location and directions	4
97	F	P	what	0	question	13
97	F	P	who	0	question	1
97	F	P	will	0	question	1
97	F	P	with	1	location and directions	3
97	NF	C	can	0	question	1
97	NF	C	down	1	location and directions	1
97	NF	C	shape	1	shapes	1
97	NF	C	tree	0	nature	2
97	NF	C	turn	1	orientation and transformation	1
97	NF	C	water	0	nature	1
97	NF	P	all	1	continuous amount	2
97	NF	P	animal	0	animal name	1
97	NF	P	around	1	location and directions	3
97	NF	P	away	1	location and directions	3
97	NF	P	big	1	spatial dimension	5
